QR;ToolNummer;ToolName;Typ;Radius;Eckenradius;Spitzenwinkel;Eintauchwinkel;Schneiden;Schnittlaenge;Ausspann_Laenge;IST_Laenge;SOLL_Laenge;Steigung;Message1;Message2;Message3;Message4;Message5;KK_Durchmesser;KK_Laenge;Lage
130824084536;146;D16_TPC_INGERSOLL_EDEL;9;8;0;0;2.5;4;42;55;139.4;142;0;47D16040W3RT100;304450 16;;309880 63;HSK63;35;150;
130824084035;;;;;;;;;;;;;;;304450 16;;;;;;
130824084311;148;D16_TPC_INGERSOLL_LILA;9;8;0;0;2.5;4;57;63;143.4;142;0;47C16055W3RD032;304450 16;;309880 63;HSK63;35;150;
130824090340;;;;;;;;;;;;;;;304450 16;;;;;;
130824085834;138;D10_SCHRUPP_TPC_BLAU;9;5;0;0;2.5;5;30;36;110.5;111;0;203019 10;304450 10;;309880 63;HSK63;35;120;
130824090109;;;;;;;;;;;;;;;304450 10;;;;;;
130824090637;2144;D10_TPC_INGERSOLL_EDEL;9;5;0;0;2.5;4;33;41;111.2;112;0;47D10033W1RT050;304450 10;;309880 63;HSK63;35;120;
130824090915;144;D10_TPC_INGERSOLL_EDEL;9;5;0;0;2.5;4;33;44;114;112;0;47D10033W1RT050;304450 10;;309880 63;HSK63;35;125;
130824085242;139;D12_SCHRUPP_TPC_BLAU;9;6;0;0;2.5;5;36;45;130;129;0;203019 12;304450 12;;309880 63;HSK63;35;140;
130824085024;145;D12_TPC_INGERSOLL_EDEL;9;6;0;0;2.5;4;37;47;127.5;130;0;47D12037W2RT050;304450 12;;309880 63;HSK63;35;135;
130824085513;2145;D12_TPC_INGERSOLL_EDEL;9;6;0;0;2.5;4;37;49;129;130;0;47D12037W2RT050;304450 12;;309880 63;HSK63;35;140;
130824091953;2142;D6_TPC_INGERSOLL_EDEL;9;3;0;0;2.5;4;19;28;93;93;0;47D06019WERT020;304450 6;;309880 63;HSK63;35;100;
130824091600;142;D6_TPC_INGERSOLL_EDEL;9;3;0;0;2.5;4;19;28;93;93;0;47D06019WERT020;304450 6;;309880 63;HSK63;35;110;
130824091750;;;;;;;;;;;;;;;304450 6;;;;;;
130824092155;136;D6_SCHRUPP_TPC_BLAU;9;3;0;0;2.5;5;18;25;93;92;0;203019 6;304450 6;;309880 63;HSK63;35;100;
130824091321;137;D8_SCHRUPP_TPC_BLAU;9;4;0;0;2.5;5;24.5;29.8;99.5;98;0;203019 8;304450 8;;309880 63;HSK63;35;110;
130824092357;143;D8_TPC_INGERSOLL_EDEL;9;4;0;0;2.5;4;23;34;100;100;0;47D08023W0RT050;304450 8;;309880 63;HSK63;35;110;
130824092618;2143;D8_TPC_INGERSOLL_EDEL;9;4;0;0;2.5;4;23;34;99.7;100;0;47D08023W0RT050;304450 8;;309880 63;HSK63;35;110;
130824094922;;;;;;;;;;;;;;;308187 8;;;;;;
130824095150;;;;;;;;;;;;;;;308187 10;;;;;;
130824094731;;;;;;;;;;;;;;;308187 6;;;;;;
130824095337;;;;;;;;;;;;;;;308187 6;;;;;;
130824143057;111;D6_SCHRUPP_UEBERLANG;9;3;0;0;2.5;4;12.5;40;109.5;106;0;205718 6;304272 6;;309880 63;HSK63;35;120;
130824161134;158;VHM_BOHRER_D13.5;1;6.75;0;135;0;1;67;72;196.3;202;0;122715 13.5;308192 14;;309880 63;HSK63;35;210;
